homelat,homelon,homecontinent,n
-38.9,-71.2,South America,3
-38.7,-72.6,South America,10
-38.7,-62.4,South America,1
-38.7,-62.3,South America,10
-38.7,178,Australia,5
-38.6,-58.7,South America,10
-38.6,146.1,Australia,2
-38.5,143.7,Australia,2
-38.5,145.2,Australia,18
-38.5,145.3,Australia,5
-38.5,145.5,Australia,8
-38.5,145.9,Australia,3
-38.4,-63.6,South America,529
-38.4,142.5,Australia,1
-38.4,142.9,Australia,2
-38.4,144.3,Australia,5
-38.4,144.8,Australia,1
-38.4,144.9,Australia,15
-38.3,-59.6,South America,2
-38.3,-57.8,NA,24
-38.3,144,Australia,2
-38.3,144.3,Australia,26
-38.3,144.5,Australia,2
-38.3,144.6,NA,23
-38.3,144.7,NA,1
-38.3,145.1,Australia,1
-38.2,-57.7,NA,3
-38.2,-57.6,NA,6
-38.2,144.7,NA,1
-38.2,145.2,Australia,3
-38.1,144.4,Australia,6
-38.1,145.1,Australia,8
-38.1,176.2,Australia,1
-38.1,178,Australia,8
-38,-57.7,South America,5
-38,-57.6,South America,1
-38,-57.5,South America,499
-38,145,Australia,1
-38,145.1,Australia,8
-38,145.2,Australia,1
-38,145.3,Australia,1
-38,147,Australia,2
-37.9,-57.8,South America,2
-37.9,-57.6,South America,1
-37.9,144.7,Australia,2
-37.9,144.8,Australia,1
-37.9,145,Australia,17
-37.9,145.1,Australia,1
-37.9,145.3,Australia,1
-37.8,-57.5,South America,1
-37.8,140.8,Australia,2
-37.8,144.8,Australia,4
-37.8,144.9,Australia,16
-37.8,145,Australia,570
-37.8,145.1,Australia,2
-37.8,145.2,Australia,1
-37.8,145.3,Australia,2
-37.8,145.4,Australia,1
-37.8,174.9,NA,14
-37.8,175.3,Australia,11
-37.7,176.2,Australia,3
-37.7,177.1,NA,2
-37.6,143.9,Australia,6
-37.6,147.5,Australia,3
-37.6,176.2,NA,10
-37.5,-72.3,South America,8
-37.5,144.8,Australia,35
-37.5,175.2,Australia,1
-37.4,144.3,Australia,2
-37.4,144.6,Australia,2
-37.4,175.9,Australia,2
-37.3,-60,South America,2
-37.3,-59.1,South America,1
-37.3,-57,South America,2
-37.3,142.9,Australia,1
-37.2,-62.8,South America,3
-37.2,175.9,Australia,1
-37.1,-56.9,South America,54
-37.1,142.7,Australia,1
-37.1,145.9,Australia,1
-37,-73,South America,2
-37,-72.3,South America,1
-37,174.5,NA,1
-37,174.8,NA,1
-37,175.9,Australia,1
-36.9,-73.1,South America,2
-36.9,-62.7,South America,2
-36.9,174.7,Australia,4
-36.9,174.8,Australia,9
-36.9,175.8,Australia,1
-36.8,-73.1,South America,4
-36.8,-73,South America,21
-36.8,144.3,Australia,2
-36.8,149.9,Australia,2
-36.8,174.8,Australia,516
-36.8,174.8,NA,2
-36.8,175.1,NA,3
-36.7,-73.1,South America,1
-36.7,-56.7,South America,2
-36.7,142.2,Australia,1
-36.7,149.7,Australia,2
-36.7,150,Australia,1
-36.7,174.5,Australia,13
-36.6,-72.1,South America,8
-36.6,-64.3,South America,5
-36.6,-56.7,South America,1
-36.5,148.3,Australia,1
-36.3,-68,South America,2
-36.1,146.6,Australia,1
-35.8,-72.6,South America,2
-35.8,-71.6,South America,1
-35.8,-61.9,South America,2
-35.8,148,Australia,2
-35.7,-71.5,South America,326
-35.7,142.4,Australia,1
-35.7,174.3,Australia,1
-35.6,-58,South America,6
-35.5,138.5,Australia,5
-35.5,149,Australia,8
-35.4,-71.7,South America,2
-35.4,-71.6,South America,39
-35.4,150,Australia,73
-35.3,-72.4,South America,1
